====================================================================================================
HADWIGER-NELSON UNIT SPHERE MAPPING OF PI DIGITS
====================================================================================================

UNIFIED MAPPING FORMULA:
  θ(i) = 2π × i / φ    where φ = (1+√5)/2 (golden ratio)
  φ(d) = π × d / 9     where d ∈ {0,1,2,...,9}
  Cartesian: (x,y,z) = (sin(φ)cos(θ), sin(φ)sin(θ), cos(φ))
  Color class: c(d) = d mod 7 (Hadwiger-Nelson chromatic constraint)

====================================================================================================

Index,Digit,X_Coord,Y_Coord,Z_Coord,Theta,Phi,ColorClass
292,2,-0.62811131,0.13657267,0.76604444,1133.90084662,0.69813170,2
293,4,0.85092714,0.49575126,0.17364818,1137.78406869,1.39626340,4
294,9,-0.00000000,-0.00000000,-1.00000000,1141.66729077,3.14159265,2
295,1,-0.14567697,0.30944466,0.93969262,1145.55051285,0.34906585,1
296,4,0.91116571,-0.37366209,0.17364818,1149.43373493,1.39626340,4
297,1,-0.32099572,-0.11806576,0.93969262,1153.31695700,0.34906585,1
298,2,0.29495069,0.57112170,0.76604444,1157.20017908,0.69813170,2
299,7,0.16829971,-0.62036370,-0.76604444,1161.08340116,2.44346095,0
300,3,-0.73178216,0.46313590,0.50000000,1164.96662324,1.04719755,3
301,7,0.63270208,0.11341955,-0.76604444,1168.84984531,2.44346095,0
302,2,-0.38992101,-0.51101616,0.76604444,1172.73306739,0.69813170,2
303,4,-0.08835684,0.98083606,0.17364818,1176.61628947,1.39626340,4
304,5,0.72769683,-0.66355380,-0.17364818,1180.49951155,1.74532925,5
305,8,-0.34201924,-0.00078775,-0.93969262,1184.38273362,2.79252680,1
306,7,0.47297027,0.43528730,-0.76604444,1188.26595570,2.44346095,0
307,0,-0.00000000,-0.00000000,1.00000000,1192.14917778,0.00000000,0
308,0,-0.00000000,0.00000000,1.00000000,1196.03239985,0.00000000,0
309,6,0.85313206,-0.14888144,-0.50000000,1199.91562193,2.09439510,6
310,6,-0.72964100,-0.46650189,-0.50000000,1203.79884401,2.09439510,6
311,0,0.00000000,0.00000000,1.00000000,1207.68206609,0.00000000,0
312,6,0.40092628,-0.76763150,-0.50000000,1211.56528816,2.09439510,6
313,3,-0.81415819,0.29520577,0.50000000,1215.44851024,1.04719755,3
314,1,0.31584339,0.13122778,0.93969262,1219.33173232,0.34906585,1
315,5,-0.41535130,-0.89293315,-0.17364818,1223.21495440,1.74532925,5
316,5,-0.29690055,0.93898689,-0.17364818,1227.09817647,1.74532925,5
317,8,0.29631386,-0.17080947,-0.93969262,1230.98139855,2.79252680,1
318,8,-0.33387276,-0.07420755,-0.93969262,1234.86462063,2.79252680,1
319,1,0.19606090,0.28024614,0.93969262,1238.74784271,0.34906585,1
320,7,0.08407306,-0.63726575,-0.76604444,1242.63106478,2.44346095,0
321,4,-0.75449201,0.63292030,0.17364818,1246.51428686,1.39626340,4
322,8,0.34169462,0.01491857,-0.93969262,1250.39750894,2.79252680,1
323,8,-0.24187763,-0.24181189,-0.93969262,1254.28073102,2.79252680,1
324,1,0.01501146,0.34169055,0.93969262,1258.16395309,0.34906585,1
325,5,0.63271517,-0.75466405,-0.17364818,1262.04717517,1.74532925,5
326,2,-0.63724287,0.08424631,0.76604444,1265.93039725,0.69813170,2
327,0,0.00000000,0.00000000,1.00000000,1269.81361933,0.00000000,0
